url,scrap_url
https://postcode.my/location/johor/rengit/?page=2,https://postcode.my/johor-rengit-kampung-jaya-diri-timur-83100.html
https://postcode.my/location/johor/rengit/?page=2,https://postcode.my/johor-rengit-kampung-lapis-sri-bahrom-83100.html
https://postcode.my/location/johor/rengit/?page=2,https://postcode.my/johor-rengit-kampung-lapis-sungai-dulang-83100.html
https://postcode.my/location/johor/rengit/?page=2,https://postcode.my/johor-rengit-kampung-parit-alwee-laut-83100.html
https://postcode.my/location/johor/rengit/?page=2,https://postcode.my/johor-rengit-kampung-parit-besar-83100.html
https://postcode.my/location/johor/rengit/?page=2,https://postcode.my/johor-rengit-kampung-parit-daing-mencening-83100.html
https://postcode.my/location/johor/rengit/?page=2,https://postcode.my/johor-rengit-kampung-parit-jalal-83100.html
https://postcode.my/location/johor/rengit/?page=2,https://postcode.my/johor-rengit-kampung-parit-jalal-laut-83100.html
https://postcode.my/location/johor/rengit/?page=2,https://postcode.my/johor-rengit-kampung-parit-latif-off-parit-ahmad-83100.html
https://postcode.my/location/johor/rengit/?page=2,https://postcode.my/johor-rengit-kampung-parit-mengkudu-darat-83100.html
https://postcode.my/location/johor/rengit/?page=2,https://postcode.my/johor-rengit-kampung-parit-mengkudu-laut-83100.html
https://postcode.my/location/johor/rengit/?page=2,https://postcode.my/johor-rengit-kampung-parit-perpat-darat-83100.html
https://postcode.my/location/johor/rengit/?page=2,https://postcode.my/johor-rengit-kampung-parit-perpat-lapis-83100.html
https://postcode.my/location/johor/rengit/?page=2,https://postcode.my/johor-rengit-kampung-parit-perpat-laut-83100.html
https://postcode.my/location/johor/rengit/?page=2,https://postcode.my/johor-rengit-kampung-parit-tamsir-83100.html
https://postcode.my/location/johor/rengit/?page=2,https://postcode.my/johor-rengit-kampung-parit-tengah-83100.html
https://postcode.my/location/johor/rengit/?page=2,https://postcode.my/johor-rengit-kampung-parit-tengah-merlong-83100.html
https://postcode.my/location/johor/rengit/?page=2,https://postcode.my/johor-rengit-kampung-perpat-abd-rahman-83100.html
https://postcode.my/location/johor/rengit/?page=2,https://postcode.my/johor-rengit-kampung-perpat-darat-83100.html
https://postcode.my/location/johor/rengit/?page=2,https://postcode.my/johor-rengit-kampung-perpat-tambak-83100.html
https://postcode.my/location/johor/rengit/?page=3,https://postcode.my/johor-rengit-kampung-punggor-barat-83100.html
https://postcode.my/location/johor/rengit/?page=3,https://postcode.my/johor-rengit-kampung-punggor-besar-83100.html
